,ICD9,tensor
10,40301,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
11,40310,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
12,40311,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
13,40390,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
14,40391,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
15,40400,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
16,40411,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
17,40412,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
18,40413,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
19,40490,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
20,40491,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
21,40492,"-0.0877397358417511,0.10746095329523087,0.08127066493034363,-0.10645243525505066,-0.01445443369448185,0.12841829657554626,0.0997011736035347,-0.027597161009907722,-0.13260765373706818,0.05428742989897728,-0.06323468685150146,-0.10094005614519119,-0.02001134864985943,0.0036471430212259293,0.13245269656181335,-0.04614666849374771,0.11938170343637466,-0.014102134853601456,-0.057847797870635986,0.019854530692100525,-0.05682972073554993,-0.09822642058134079,-0.06388042122125626,-0.0446353405714035,-0.08488655090332031,0.02200423739850521,0.10620848089456558,-0.11467490345239639,-0.08513789623975754,0.13453468680381775,0.02211903966963291,-0.014347508549690247,0.031699325889348984,0.09329833835363388,0.05290859192609787,-0.07637009769678116,-0.019902801141142845,-0.006456803064793348,-0.05933583527803421,0.07075098901987076,0.025570137426257133,-0.03641000762581825,-0.07683122158050537,-0.1283741593360901,-0.05642521381378174,-0.046533066779375076,0.12049607187509537,0.012877841480076313,-0.08857287466526031,-0.11963389813899994,0.004096631426364183,-0.051118604838848114,-0.10888310521841049,0.0477043054997921,0.09920427203178406,-0.12042112648487091,0.007180832792073488,-0.022514333948493004,0.028672702610492706,0.05653107538819313,0.08099423348903656,0.05194895714521408,0.1035434752702713,-0.03259967640042305"
